Geneid	SRR8134496	SRR8134484	SRR8134499	SRR8134480	SRR8134485	SRR8134483	SRR8134482	SRR8134481	SRR8134500	SRR8134497	SRR8134501	SRR8134498
ENSG00000279928	0	2	0	1	2	1	1	2	0	0	0	0
ENSG00000228037	48	31	40	10	58	87	29	35	56	30	67	52
ENSG00000142611	0	4	0	9	16	7	12	7	1	0	0	1
ENSG00000284616	0	4	0	0	2	3	1	3	0	0	0	0
ENSG00000157911	512	51	263	63	113	78	37	60	645	405	397	421
ENSG00000269896	18	3	27	4	11	2	4	4	12	21	14	24
ENSG00000228463	4	0	3	3	8	4	1	4	1	0	3	0
ENSG00000260972	0	1	0	1	3	2	0	5	0	0	0	0
ENSG00000224340	0	1	0	0	4	0	1	3	0	0	0	0
ENSG00000226374	0	3	0	3	4	5	5	3	0	0	0	0
ENSG00000229280	1	0	0	2	0	0	0	0	1	0	0	1
ENSG00000142655	745	29	437	42	64	64	27	55	880	579	566	630
ENSG00000232596	0	5	0	7	14	6	3	11	0	0	0	0
ENSG00000235054	0	3	0	8	2	3	1	0	0	0	0	0
ENSG00000231510	0	0	0	5	3	0	2	0	0	0	0	0
ENSG00000149527	44	17	84	38	51	61	21	49	39	64	107	32
ENSG00000284739	0	0	0	0	2	4	0	0	0	0	0	0
ENSG00000171621	144	14	26	16	24	10	2	13	87	157	98	19
ENSG00000272235	0	3	0	4	13	9	4	2	0	0	0	0
ENSG00000284694	0	4	0	3	3	6	7	9	0	0	0	0
ENSG00000224387	0	2	2	1	5	2	1	0	4	1	1	3
ENSG00000142583	2834	191	934	226	361	283	190	258	2162	2480	2046	845
ENSG00000284674	0	2	0	1	8	3	1	3	0	0	0	0
ENSG00000224338	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000287727	7	9	1	16	25	8	4	17	4	7	4	2
ENSG00000286448	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000284703	0	9	2	4	16	9	1	7	0	0	0	1
ENSG00000226457	13	11	2	11	34	39	9	22	10	6	1	4
ENSG00000173614	312	23	187	40	84	59	20	66	316	185	165	295
ENSG00000215720	0	0	1	2	4	2	2	2	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	3	0	4	3	14	2	6	0	0	0	0
ENSG00000162592	1	4	0	9	22	26	3	14	1	1	4	0
ENSG00000204624	3	7	6	12	28	24	9	9	8	4	3	5
ENSG00000142606	0	3	0	6	16	13	9	18	1	0	1	2
ENSG00000225931	7	1	16	1	5	4	1	9	11	17	21	7
ENSG00000171729	14	3	40	5	12	15	8	2	13	5	21	33
ENSG00000279457	52	0	41	4	2	0	2	0	49	58	60	40
ENSG00000229393	0	1	0	0	2	2	2	1	0	2	0	1
ENSG00000037637	1078	175	772	290	397	466	247	417	1063	830	956	778
ENSG00000287586	0	2	0	4	11	5	1	11	1	0	0	0
ENSG00000159423	1253	77	839	100	147	126	69	166	1178	870	626	1212
ENSG00000227169	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157916	3422	33	1343	53	86	93	56	65	3454	1905	1797	2161
ENSG00000157881	967	137	391	137	202	167	92	148	1012	674	577	629
ENSG00000238290	0	10	0	14	37	30	10	15	0	0	0	0
ENSG00000225387	0	2	0	1	1	2	2	0	0	0	0	0
ENSG00000048707	1104	124	446	194	307	202	61	185	1100	596	648	808
ENSG00000225196	0	1	0	1	1	0	2	3	0	0	0	0
ENSG00000162444	0	1	0	0	2	1	2	2	0	0	0	0
ENSG00000279625	0	3	0	2	2	5	3	2	0	0	0	0
ENSG00000180758	213	51	177	67	126	103	43	86	218	199	330	129
ENSG00000184677	1750	47	634	69	153	119	74	92	1699	872	870	1344
ENSG00000288398	82	7	56	4	16	7	8	7	98	69	66	70
ENSG00000224621	0	0	1	2	2	9	0	2	1	0	0	0
ENSG00000285833	0	0	0	0	3	1	1	0	0	0	0	0
ENSG00000131697	358	38	295	24	50	55	34	39	409	323	343	280
ENSG00000284692	0	4	0	7	12	2	0	0	0	0	0	0
ENSG00000284745	0	2	0	0	5	9	1	2	0	0	0	0
ENSG00000280222	0	12	0	7	14	15	3	9	0	0	0	0
ENSG00000285945	0	0	0	1	0	1	2	0	0	0	0	0
ENSG00000197921	0	9	3	16	42	35	16	6	5	2	10	2
ENSG00000233755	1	5	0	4	12	7	4	12	0	0	0	0
ENSG00000233929	6	0	2	0	6	1	1	0	8	4	7	3
ENSG00000234166	0	0	0	0	0	0	0	0	0	0	0	0
