	SRR8134496	SRR8134484	SRR8134499	SRR8134480	SRR8134485	SRR8134483	SRR8134482	SRR8134481	SRR8134500	SRR8134497	SRR8134501	SRR8134498
DDX11L17	0	2	0	1	2	1	1	2	0	0	0	0
ENSG00000228037	48	31	40	10	58	87	29	35	56	30	67	52
PRDM16	0	4	0	9	16	7	12	7	1	0	0	1
ENSG00000284616	0	4	0	0	2	3	1	3	0	0	0	0
PEX10	512	51	263	63	113	78	37	60	645	405	397	421
ENSG00000269896	18	3	27	4	11	2	4	4	12	21	14	24
ENSG00000228463	4	0	3	3	8	4	1	4	1	0	3	0
ENSG00000260972	0	1	0	1	3	2	0	5	0	0	0	0
RPL21P21	0	1	0	0	4	0	1	3	0	0	0	0
LINC01345	0	3	0	3	4	5	5	3	0	0	0	0
EEF1DP6	1	0	0	2	0	0	0	0	1	0	0	1
PEX14	745	29	437	42	64	64	27	55	880	579	566	630
LINC01646	0	5	0	7	14	6	3	11	0	0	0	0
LINC01777	0	3	0	8	2	3	1	0	0	0	0	0
LINC02782	0	0	0	5	3	0	2	0	0	0	0	0
PLCH2	44	17	84	38	51	61	21	49	39	64	107	32
ENSG00000284739	0	0	0	0	2	4	0	0	0	0	0	0
SPSB1	144	14	26	16	24	10	2	13	87	157	98	19
ENSG00000272235	0	3	0	4	13	9	4	2	0	0	0	0
ENSG00000284694	0	4	0	3	3	6	7	9	0	0	0	0
ENSG00000224387	0	2	2	1	5	2	1	0	4	1	1	3
SLC2A5	2834	191	934	226	361	283	190	258	2162	2480	2046	845
LINC02781	0	2	0	1	8	3	1	3	0	0	0	0
MTCYBP45	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000287727	7	9	1	16	25	8	4	17	4	7	4	2
ENSG00000286448	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000284703	0	9	2	4	16	9	1	7	0	0	0	1
RPL22P3	13	11	2	11	34	39	9	22	10	6	1	4
NMNAT1	312	23	187	40	84	59	20	66	316	185	165	295
MFFP1	0	0	1	2	4	2	2	2	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1P11	0	3	0	4	3	14	2	6	0	0	0	0
CCDC27	1	4	0	9	22	26	3	14	1	1	4	0
DISP3	3	7	6	12	28	24	9	9	8	4	3	5
MMEL1	0	3	0	6	16	13	9	18	1	0	1	2
ENSG00000225931	7	1	16	1	5	4	1	9	11	17	21	7
TMEM51	14	3	40	5	12	15	8	2	13	5	21	33
WASH9P	52	0	41	4	2	0	2	0	49	58	60	40
ENSG00000229393	0	1	0	0	2	2	2	1	0	2	0	1
