Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR8134480 - polya	(1, 0.030488756702883014)	(2, 0.039202652818224173)	(3, 0.04624687949649883)	(4, 0.05694659547485992)	(5, 0.0658235066535833)	(6, 0.07566368866138352)	(7, 0.08563230677972733)	(8, 0.09602081218254051)	(9, 0.10530279109451672)	(10, 0.11824025930657937)	(11, 0.12955745658563073)	(12, 0.13927414233329288)	(13, 0.14963300863367293)	(14, 0.15819870923684845)	(15, 0.1679153949845106)	(16, 0.17577469697969642)	(17, 0.1846022096543646)	(18, 0.19245657179914488)	(19, 0.20132854312746276)	(20, 0.21027955206226898)	(21, 0.21942321516289057)	(22, 0.22872495347648888)	(23, 0.2382786241607688)	(24, 0.24736300905652414)	(25, 0.25582991265158916)	(26, 0.2639312673166456)	(27, 0.2718992460207529)	(28, 0.2815764129651709)	(29, 0.2910708054445846)	(30, 0.29944879173235023)	(31, 0.307856417122549)	(32, 0.3162047643078815)	(33, 0.32404430690144526)	(34, 0.3317603532348709)	(35, 0.3418722270149749)	(36, 0.3510652886196517)	(37, 0.3603225682796003)	(38, 0.36824114847965234)	(39, 0.3762140670341652)	
SRR8134481 - polya	(1, 0.06278005759508591)	(2, 0.07595346865462903)	(3, 0.08582149728197995)	(4, 0.09810286224280156)	(5, 0.10865195511150003)	(6, 0.11928247957427267)	(7, 0.12975014084889697)	(8, 0.1399179857998846)	(9, 0.14897539992258815)	(10, 0.15976508613741486)	(11, 0.17034379049486756)	(12, 0.17843142836086973)	(13, 0.18708908738539104)	(14, 0.1949213261608879)	(15, 0.20324955737301825)	(16, 0.20925698815403496)	(17, 0.21619718083081027)	(18, 0.2223156546946554)	(19, 0.2290337612057739)	(20, 0.23585920936362653)	(21, 0.24469083588457902)	(22, 0.25131270505724623)	(23, 0.25875629304284364)	(24, 0.26504133153093135)	(25, 0.2712301326805678)	(26, 0.2775558869656926)	(27, 0.2835892277993693)	(28, 0.29049980898739036)	(29, 0.29729934709258304)	(30, 0.3027922782564948)	(31, 0.3091476440303738)	(32, 0.3152365064054647)	(33, 0.32188798706688615)	(34, 0.3283766045401593)	(35, 0.33582019252575673)	(36, 0.34281590674394624)	(37, 0.34988194824792707)	(38, 0.35637796859338877)	(39, 0.36285548175837906)	(40, 0.369751257202023)
SRR8134482 - polya	(1, 0.03463907805434742)	(2, 0.044930190040618274)	(3, 0.05221014565660457)	(4, 0.06277434581010886)	(5, 0.07185812063597923)	(6, 0.08158868322634985)	(7, 0.09187260868190403)	(8, 0.10148100025009127)	(9, 0.11028450037801152)	(10, 0.12215664912194968)	(11, 0.1333963831628209)	(12, 0.14293290942384146)	(13, 0.15341805773946238)	(14, 0.16191253704656586)	(15, 0.17178683025126987)	(16, 0.1800010348604232)	(17, 0.18876141580404343)	(18, 0.19607730407361307)	(19, 0.2047945658329333)	(20, 0.21366993126802022)	(21, 0.22238719302734045)	(22, 0.23144940826106078)	(23, 0.24126620922003145)	(24, 0.24983974036501827)	(25, 0.2584779502864551)	(26, 0.26631126876762495)	(27, 0.27405834888019476)	(28, 0.2833864657504319)	(29, 0.29195999689541874)	(30, 0.29989392680662197)	(31, 0.30823748896867537)	(32, 0.31597019601981186)	(33, 0.3245293541033653)	(34, 0.3325567089138852)	(35, 0.341805773946239)	(36, 0.35042242427552583)	(37, 0.35939840114064614)	(38, 0.3668292739016825)	(39, 0.37443262339991895)	
SRR8134483 - polya	(1, 0.06757889830159211)	(2, 0.08073868166256667)	(3, 0.09110236634506202)	(4, 0.10311812966223696)	(5, 0.1140396129375166)	(6, 0.12497886049919066)	(7, 0.1353070166088972)	(8, 0.1456849127205081)	(9, 0.15483707307090508)	(10, 0.16493429345748437)	(11, 0.17427830810094094)	(12, 0.18232908269488488)	(13, 0.19089502159426655)	(14, 0.19801139472386484)	(15, 0.20535870357659036)	(16, 0.21141632523708218)	(17, 0.21802819263307938)	(18, 0.2243203028739773)	(19, 0.2308646659816758)	(20, 0.237476533377673)	(21, 0.2472362323227586)	(22, 0.2536278225674652)	(23, 0.2602929828226456)	(24, 0.2667129959255833)	(25, 0.2728594390180471)	(26, 0.27891350782126)	(27, 0.28492494233712634)	(28, 0.29143377687203603)	(29, 0.29791418854871465)	(30, 0.3038936473490711)	(31, 0.31000811472602496)	(32, 0.3163144363960384)	(33, 0.3225141723476855)	(34, 0.32869614401293806)	(35, 0.3355496057038992)	(36, 0.34230714024833053)	(37, 0.34900782907629974)	(38, 0.35551311075393055)	(39, 0.36149256955428694)	(40, 0.3682323398123239)
SRR8134484 - polya	(1, 0.032018853383656676)	(2, 0.0408403742138478)	(3, 0.047508190412027036)	(4, 0.0578899802325921)	(5, 0.06671150106278323)	(6, 0.0759997690268469)	(7, 0.08602149677271029)	(8, 0.0953564394501612)	(9, 0.10425130625853231)	(10, 0.11553991908204975)	(11, 0.1261217433885602)	(12, 0.1358434194055055)	(13, 0.14579846898938711)	(14, 0.15383985532439126)	(15, 0.16330815432580578)	(16, 0.17124285560163904)	(17, 0.1796443040113449)	(18, 0.18715893286669288)	(19, 0.19534701115805697)	(20, 0.20386848025933005)	(21, 0.2118365206161542)	(22, 0.2210314391534434)	(23, 0.23112651287748676)	(24, 0.2392945877202563)	(25, 0.24714927520171145)	(26, 0.25456388681408676)	(27, 0.26229188578777646)	(28, 0.27125343075812935)	(29, 0.28024831480947315)	(30, 0.288056327577541)	(31, 0.2965844644950123)	(32, 0.3041857749609366)	(33, 0.3118804348536354)	(34, 0.3197551257836851)	(35, 0.3291034040935324)	(36, 0.3376048697462109)	(37, 0.3467797848349055)	(38, 0.3543410884036408)	(39, 0.36193573105336696)	
SRR8134485 - polya	(1, 0.07091195247626011)	(2, 0.08543308232978898)	(3, 0.09573157086781195)	(4, 0.10919414022672567)	(5, 0.12067879655186535)	(6, 0.1325549752517257)	(7, 0.14385402096959038)	(8, 0.15486885044506524)	(9, 0.16488312274069838)	(10, 0.17609226332066424)	(11, 0.1866691677695997)	(12, 0.19543346863186536)	(13, 0.20512582253050599)	(14, 0.2133535927311174)	(15, 0.22145665580496593)	(16, 0.22793852623089705)	(17, 0.23529914687564565)	(18, 0.24129088929174125)	(19, 0.2481062787776196)	(20, 0.25534799262708263)	(21, 0.2637468726062757)	(22, 0.2705941639152794)	(23, 0.2777053703065023)	(24, 0.2843554503452763)	(25, 0.29070391314722854)	(26, 0.2966724542374148)	(27, 0.30275700195714783)	(28, 0.30966229658092503)	(29, 0.31636457960299513)	(30, 0.3222287147265892)	(31, 0.32881789128485117)	(32, 0.3349981444739604)	(33, 0.34161632268960906)	(34, 0.3481764975904843)	(35, 0.3555400184009716)	(36, 0.3627759319189573)	(37, 0.369791432840804)	(38, 0.3762501019408257)	(39, 0.3827261720352795)	(40, 0.3897677744487742)
SRR8134496 - polya	(1, 0.0031458483273745677)	(2, 0.005155845757815436)	(3, 0.005876207253020419)	(4, 0.007557050741832045)	(5, 0.008547210549847882)	(6, 0.009658779598628604)	(7, 0.011752414506040839)	(8, 0.01489286686715919)	(9, 0.020288833123376288)	(10, 0.025981577523685323)	(11, 0.027430394463479616)	(12, 0.028698446533690632)	(13, 0.03112123538273211)	(14, 0.035125042344845196)	(15, 0.03767193841777967)	(16, 0.04078810893074504)	(17, 0.0423556371281761)	(18, 0.0441524938914964)	(19, 0.04579826359964261)	(20, 0.04770573767121536)	(21, 0.04965907745596595)	(22, 0.05188761151978361)	(23, 0.05622596838978215)	(24, 0.058956327315428006)	(25, 0.06120644524427054)	(26, 0.0646005080194311)	(27, 0.06769239668424348)	(28, 0.07070874182146884)	(29, 0.0736306575492104)	(30, 0.07638260033988112)	(31, 0.07942862329151568)	(32, 0.0819620294488096)	(33, 0.08456828115056246)	(34, 0.08807296123397547)	(35, 0.0906414411719348)	(36, 0.09281331759006219)	(37, 0.09565429382396048)	(38, 0.09774523074824461)	(39, 0.09971206044863574)	(40, 0.10283632491098545)
SRR8134497 - polya	(1, 0.005313419899931595)	(2, 0.008086784252799574)	(3, 0.009528030585429744)	(4, 0.01203045567994427)	(5, 0.013618460777515894)	(6, 0.015481168178695881)	(7, 0.017652445290778408)	(8, 0.02258579761996419)	(9, 0.02891147669346632)	(10, 0.03372441157449501)	(11, 0.03522210358594882)	(12, 0.03675742604995172)	(13, 0.039271140280230966)	(14, 0.042823455000865124)	(15, 0.046345665359460005)	(16, 0.050925291434684335)	(17, 0.05329977299053195)	(18, 0.05571188499892866)	(19, 0.05789445124677592)	(20, 0.06056621337776135)	(21, 0.06540172653031949)	(22, 0.06838205837220747)	(23, 0.0709296400097809)	(24, 0.07345464337582489)	(25, 0.0755770008995936)	(26, 0.07954325059826775)	(27, 0.082098358326351)	(28, 0.08452928556102225)	(29, 0.08703171065553679)	(30, 0.08937608784934513)	(31, 0.09188227598911457)	(32, 0.093850348657432)	(33, 0.0959651800906909)	(34, 0.09819290288159706)	(35, 0.10002550592073778)	(36, 0.10200486772481994)	(37, 0.1036493185012152)	(38, 0.10558728680749337)	(39, 0.10749891379698717)	(40, 0.10997123452946242)
SRR8134499 - polya	(1, 0.030016844708443385)	(2, 0.03360988347653636)	(3, 0.03555611280925339)	(4, 0.03853159803908038)	(5, 0.040571396089716494)	(6, 0.04302757493509255)	(7, 0.04562410685734724)	(8, 0.05142068893243473)	(9, 0.058859402007002216)	(10, 0.0645858075436504)	(11, 0.0665647859276391)	(12, 0.06837534061937345)	(13, 0.07144439456711953)	(14, 0.07551463379659985)	(15, 0.0795614808466004)	(16, 0.08534870604989599)	(17, 0.08823062256180389)	(18, 0.09083183291995453)	(19, 0.09325994114995487)	(20, 0.09647402661047554)	(21, 0.10257470701880006)	(22, 0.10605078488949417)	(23, 0.10877363458093964)	(24, 0.11151987645186485)	(25, 0.11375616881013106)	(26, 0.11786851396267498)	(27, 0.12100774444886037)	(28, 0.12374462944799369)	(29, 0.1263598751138322)	(30, 0.12863359495926602)	(31, 0.1312909465481681)	(32, 0.13353659577822624)	(33, 0.13590388434157916)	(34, 0.13846766721256215)	(35, 0.14067588895545263)	(36, 0.142790541980424)	(37, 0.14461513197984624)	(38, 0.14684674590221647)	(39, 0.14919532072198557)	(40, 0.15198834695187036)
SRR8134501 - polya	(1, 0.01099875855852442)	(2, 0.014274748767191701)	(3, 0.01597368393741374)	(4, 0.018965287171935158)	(5, 0.0206272889688915)	(6, 0.02286545138879271)	(7, 0.025325214048288094)	(8, 0.030879993387448852)	(9, 0.037915800994564035)	(10, 0.04357399377886874)	(11, 0.0452581555997845)	(12, 0.046890610698128284)	(13, 0.04969385372899465)	(14, 0.053571857921892785)	(15, 0.057302128621728135)	(16, 0.06250973425219133)	(17, 0.06527235057246544)	(18, 0.06813838033788348)	(19, 0.07052058291352091)	(20, 0.07353434617200175)	(21, 0.08009001992666288)	(22, 0.08334015677404417)	(23, 0.08602890634778687)	(24, 0.08880260268004068)	(25, 0.09138793880863944)	(26, 0.09567590344478681)	(27, 0.09863057330604252)	(28, 0.10162956321521709)	(29, 0.10424813937975497)	(30, 0.10683716884568029)	(31, 0.10937449158903365)	(32, 0.1114353738172595)	(33, 0.11369569626112012)	(34, 0.11622563232982035)	(35, 0.11814986107696313)	(36, 0.12008886317341219)	(37, 0.12216451875094433)	(38, 0.12433989443629387)	(39, 0.1265263501336231)	(40, 0.12942561993498028)
