Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR8134480	(1, 0.12947841897914236)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0009731505298878734)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.005517812902968297)	(25, 0.0017190679411217254)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 9.879700811044399e-06)	(34, 0.0)	(35, 9.879700811044399e-06)	(36, 0.0)	(37, 7.4097756082833e-05)	(38, 0.0014078573655738268)	(39, 0.00042482713487490916)	(40, 0.0007854362144780298)	(41, 0.00033590982757550954)	(42, 0.002148834926402157)	(43, 0.0)	(44, 0.0)	(45, 0.0008447144193442961)	(46, 0.00022229326824849897)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.00019265416581536578)	
SRR8134481	(1, 0.843013174780591)	(2, 0.00020728042127968936)	(3, 0.0002702048348824522)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 3.7014360942801673e-06)	(17, 0.0)	(18, 0.0010401035424927269)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.02083908521079734)	(24, 0.0007143771661960722)	(25, 0.0)	(26, 0.012292469269104433)	(27, 3.3312924848521506e-05)	(28, 9.623733845128434e-05)	(29, 0.00043306802303077954)	(30, 0.0)	(31, 0.0029056273340099313)	(32, 0.0030721919582525387)	(33, 0.0020950128293625745)	(34, 0.0055891685023630525)	(35, 0.0)	(36, 0.0)	(37, 0.0064923189093674125)	(38, 0.0)	(39, 0.0)	(40, 0.011703940930113888)	(41, 0.0039087165155598565)	(42, 0.00030721919582525387)	(43, 0.0015879160844461918)	(44, 0.004760046817244295)	(45, 0.002243070273133781)	(46, 0.0013621284826951015)	(47, 0.0035570800866032404)	(48, 0.016334437484058377)	(49, 0.009449766348697267)	(50, 0.0)	(51, 0.0033275910487578705)
SRR8134482	(1, 0.13213155375668706)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0010636065460670992)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.005303659668902157)	(25, 0.0016529020648340057)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 2.8746122866678354e-05)	(34, 0.0)	(35, 7.186530716669589e-06)	(36, 0.0)	(37, 5.030571501668712e-05)	(38, 0.0013007620597171956)	(39, 0.0004240053122835058)	(40, 0.0007761453174003156)	(41, 0.00034495347440014027)	(42, 0.0020409747235341632)	(43, 0.0)	(44, 0.0)	(45, 0.0008120779709836635)	(46, 0.00021559592150008767)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.00017247673720007013)	
SRR8134483	(1, 0.843839132306984)	(2, 0.00017409000666516024)	(3, 0.0002096185794539685)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0011191500428474588)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.02114660652389865)	(24, 0.0007247828848916876)	(25, 0.0)	(26, 0.011994446173501653)	(27, 2.1317143673284928e-05)	(28, 0.00011369143292418629)	(29, 0.00046897716081226843)	(30, 0.0)	(31, 0.002824521536710253)	(32, 0.003105197261741838)	(33, 0.002128161510049612)	(34, 0.00553535164049632)	(35, 0.0)	(36, 0.0)	(37, 0.0063169802418501005)	(38, 0.0)	(39, 0.0)	(40, 0.011532574727247146)	(41, 0.0036985244273149355)	(42, 0.000358838585166963)	(43, 0.001549045773592038)	(44, 0.0047288530381903735)	(45, 0.002309357231272534)	(46, 0.001293240049512619)	(47, 0.0034746944187454432)	(48, 0.01616905347618662)	(49, 0.009351120358014322)	(50, 0.0)	(51, 0.0033183686984746873)
SRR8134484	(1, 0.13146266416330174)	(2, 0.0)	(3, 6.667816198179233e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0010601827755104978)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.005447605833912433)	(25, 0.0016936253143375252)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 2.667126479271693e-05)	(34, 0.0)	(35, 1.3335632396358465e-05)	(36, 6.667816198179233e-06)	(37, 0.00013335632396358467)	(38, 0.0013402310558340257)	(39, 0.0006001034578361309)	(40, 0.0009668333487359887)	(41, 0.00039340115569257476)	(42, 0.001953670146066515)	(43, 0.0)	(44, 0.0)	(45, 0.0008401448409705833)	(46, 0.00024670919933263163)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0002200379345399147)	
SRR8134485	(1, 0.8418804117817724)	(2, 0.00017110977858162638)	(3, 0.00024361392204841722)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 8.7004972160149e-06)	(17, 0.0)	(18, 0.001162966461207325)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.020295359839224092)	(24, 0.0006438367939851027)	(25, 0.0)	(26, 0.012055988975657982)	(27, 8.7004972160149e-06)	(28, 9.57054693761639e-05)	(29, 0.00040022287193668544)	(30, 0.0)	(31, 0.002705854634180634)	(32, 0.00291176640162632)	(33, 0.0019924138624674123)	(34, 0.0054581119201800145)	(35, 0.0)	(36, 0.0)	(37, 0.0062759586584854145)	(38, 0.0)	(39, 0.0)	(40, 0.01159196245747052)	(41, 0.0038369192722625713)	(42, 0.0003364192256859095)	(43, 0.0015747899960986968)	(44, 0.004666366673522659)	(45, 0.0022215269558224712)	(46, 0.0012673724277995038)	(47, 0.0034221955716325276)	(48, 0.016551245870599016)	(49, 0.009547345611707017)	(50, 0.0)	(51, 0.0031785816495841107)
SRR8134496	(1, 0.1600983188219613)	(2, 0.0002913821778357233)	(3, 0.012769554145337762)	(4, 0.006440085726795107)	(5, 0.0013705754290791428)	(6, 0.000938898128581775)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 2.6979831281085486e-06)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 10.223491749189877)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 5.395966256217097e-06)	(29, 0.0)	(30, 1.0791932512434194e-05)	(31, 0.0)	(32, 0.0)	(33, 2.6979831281085485e-05)	(34, 0.000747341326486068)	(35, 0.0001942547852238155)	(36, 0.0)	(37, 5.395966256217097e-06)	(38, 0.0005989522544400978)	(39, 0.0022986816251484837)	(40, 0.002916519761485341)	(41, 0.0016889374381959517)	(42, 0.0020801449917716907)	(43, 0.0004748450305471046)	(44, 0.0002724962959389634)	(45, 0.0008714485503790613)	(46, 0.00102253560555314)	(47, 8.093949384325645e-05)	(48, 0.0004910329293157558)	(49, 1.3489915640542742e-05)	(50, 2.158386502486839e-05)	(51, 0.20617177670067097)
SRR8134497	(1, 0.8379172869106009)	(2, 0.0001994413985101803)	(3, 0.00023330880580436182)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 3.7630452549090614e-06)	(17, 0.0)	(18, 0.0010837570334138098)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.019891457217449303)	(24, 0.0007638981867465395)	(25, 0.0)	(26, 0.011992825227395181)	(27, 1.5052181019636246e-05)	(28, 0.0001091283123923628)	(29, 0.00038759366125563335)	(30, 0.0)	(31, 0.0028373361222014328)	(32, 0.0031233275615745217)	(33, 0.00212612056902362)	(34, 0.005415022121814141)	(35, 0.0)	(36, 0.0)	(37, 0.006506305245737768)	(38, 0.0)	(39, 0.0)	(40, 0.012180977490140634)	(41, 0.0037442300286345165)	(42, 0.00031233275615745215)	(43, 0.0016595029574148963)	(44, 0.004831750107303236)	(45, 0.0022314858361610736)	(46, 0.001411141970590898)	(47, 0.0034958690418105186)	(48, 0.016636423071952962)	(49, 0.009701130667155562)	(50, 0.0)	(51, 0.0034318972724770645)
SRR8134498	(1, 0.15993845758827618)	(2, 0.0002321537510958141)	(3, 0.012598210226132844)	(4, 0.006438397363723911)	(5, 0.0013155379228762798)	(6, 0.000874445795794233)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 10.237082762154497)	(23, 0.0)	(24, 0.0)	(25, 3.869229184930235e-06)	(26, 0.0)	(27, 0.0)	(28, 2.3215375109581408e-05)	(29, 0.0)	(30, 5.029997940409305e-05)	(31, 0.0)	(32, 0.0)	(33, 1.934614592465117e-05)	(34, 0.0006461612738833492)	(35, 0.0001238153339177675)	(36, 0.0)	(37, 3.869229184930235e-06)	(38, 0.0006306843571436282)	(39, 0.0022596298439992567)	(40, 0.002774237325594978)	(41, 0.001671507007889861)	(42, 0.002100991447417117)	(43, 0.00039853060604781417)	(44, 0.00028632295968483734)	(45, 0.0007738458369860469)	(46, 0.0009750457546024191)	(47, 9.286150043832563e-05)	(48, 0.0005184767107806515)	(49, 3.869229184930235e-06)	(50, 3.869229184930235e-06)	(51, 0.20405927798403561)
SRR8134499	(1, 0.836551122555605)	(2, 0.0002853845896532179)	(3, 0.00021052961531794768)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0010760402560695103)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.019859960378326397)	(24, 0.0008795459484394258)	(25, 0.0)	(26, 0.011897262483412021)	(27, 1.4035307687863178e-05)	(28, 0.0001403530768786318)	(29, 0.00042105923063589536)	(30, 0.0)	(31, 0.002671386896589958)	(32, 0.003073732383642036)	(33, 0.0024093944864165126)	(34, 0.005225812895781057)	(35, 0.0)	(36, 0.0)	(37, 0.006180213818555752)	(38, 0.0)	(39, 0.0)	(40, 0.011686732868094072)	(41, 0.003967313639769324)	(42, 0.000261992410173446)	(43, 0.0018058762558383957)	(44, 0.004977855793295473)	(45, 0.0021754726916187925)	(46, 0.0013427111021389107)	(47, 0.00331233261433571)	(48, 0.016575698379366413)	(49, 0.009665648561041776)	(50, 0.0)	(51, 0.003405901332254798)
