Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR8134480	(1, 31.935481404229538)	(2, 32.068668415900625)	(3, 31.977219879854935)	(4, 35.72561675020283)	(5, 35.81254344598432)	(6, 35.81038250842442)	(7, 35.815901457492984)	(8, 35.76966495168234)	(9, 35.74372431524782)	(10, 35.656021371373605)	(11, 35.608358236765845)	(12, 35.58696473262961)	(13, 35.62400679367747)	(14, 37.09447044013277)	(15, 37.00832542627945)	(16, 37.08937325549183)	(17, 37.05688183403604)	(18, 37.13797130618734)	(19, 37.268089287598485)	(20, 37.29031772525026)	(21, 37.22003550962066)	(22, 37.179456169892916)	(23, 37.10784760442942)	(24, 37.102968563582394)	(25, 37.12706041160414)	(26, 36.97785820732434)	(27, 36.91273892574456)	(28, 36.855982119322285)	(29, 36.84803478919287)	(30, 36.64998531876459)	(31, 36.594861676284886)	(32, 36.48171800883719)	(33, 36.42494455511905)	(34, 36.316032314130226)	(35, 36.29968679372489)	(36, 36.240288748087785)	(37, 36.23712205698532)	(38, 36.20625964999777)	(39, 36.052756120375854)	(40, 35.98085101569252)	(41, 35.954586226274394)	(42, 35.9243982570627)	(43, 35.78370153660963)	(44, 35.784923556802944)	(45, 35.81655495030313)	(46, 35.80767033295777)	(47, 35.86922798239517)	(48, 35.849015547092385)	(49, 35.75153560189706)	(50, 35.164836386226746)	
SRR8134481	(1, 31.214645760906254)	(2, 31.43488898153172)	(3, 34.98264496554167)	(4, 35.72056696673346)	(5, 35.968659866561005)	(6, 39.238580912338115)	(7, 39.34880457124397)	(8, 39.4213009356009)	(9, 39.30975627116736)	(10, 39.396597551107675)	(11, 39.42018954239923)	(12, 39.445846305787256)	(13, 39.447729115285334)	(14, 39.42483565901349)	(15, 39.4211079797373)	(16, 39.407172813129556)	(17, 39.39956384497927)	(18, 39.40471365301724)	(19, 39.39996804180076)	(20, 39.38694601947748)	(21, 39.400083156463296)	(22, 39.42098616547544)	(23, 39.348725212454106)	(24, 39.330744339180946)	(25, 39.335182842244684)	(26, 39.2226292033462)	(27, 39.200928497841375)	(28, 39.19213033230272)	(29, 39.164816510004)	(30, 39.167869121365314)	(31, 39.14139693160571)	(32, 39.14052357775927)	(33, 39.145874632877685)	(34, 39.09883219321082)	(35, 39.113684168524756)	(36, 39.101309083202025)	(37, 39.08981275582244)	(38, 39.09080936749083)	(39, 39.08224887116378)	(40, 39.00701544287257)	(41, 38.96289917351004)	(42, 38.97677108257493)	(43, 39.00312874990178)	(44, 38.99775885447364)	(45, 38.976030388198105)	(46, 38.919879602647875)	(47, 38.933938582292974)	(48, 38.92197987151649)	(49, 38.87789991324204)	(50, 38.89652813067372)	(51, 38.47829220624506)
SRR8134482	(1, 31.951348193162445)	(2, 32.08166018920698)	(3, 31.988029611381165)	(4, 35.74448649363417)	(5, 35.83050552931673)	(6, 35.83087477326496)	(7, 35.83363425732954)	(8, 35.78994489368247)	(9, 35.762577578599085)	(10, 35.67426359619746)	(11, 35.601640397501384)	(12, 35.595511939702135)	(13, 35.63493818146277)	(14, 37.11552333753985)	(15, 37.03825979596002)	(16, 37.120723367435815)	(17, 37.058319343553535)	(18, 37.153313996774685)	(19, 37.29020720205362)	(20, 37.31213201369465)	(21, 37.24286161903913)	(22, 37.200471939472166)	(23, 37.132613051314706)	(24, 37.125974349834564)	(25, 37.14423395894479)	(26, 36.99347355212966)	(27, 36.93611892845952)	(28, 36.879010802792976)	(29, 36.86593275419478)	(30, 36.67154406924366)	(31, 36.612566942533626)	(32, 36.49550144736729)	(33, 36.455290580183)	(34, 36.33077452116146)	(35, 36.32545713521889)	(36, 36.266853851836736)	(37, 36.26691414682945)	(38, 36.24111773549542)	(39, 36.07918521989347)	(40, 36.002345324299384)	(41, 35.981539599221556)	(42, 35.94938008986038)	(43, 35.81178878498763)	(44, 35.80196860635922)	(45, 35.83703391755037)	(46, 35.82209017371282)	(47, 35.8899291551802)	(48, 35.86261121156284)	(49, 35.767452992902584)	(50, 35.177285532363825)	
SRR8134483	(1, 31.20569782380386)	(2, 31.42667844083569)	(3, 34.972953341035925)	(4, 35.712488577563846)	(5, 35.956330836385234)	(6, 39.23226577077818)	(7, 39.334214690638504)	(8, 39.411810514752176)	(9, 39.299224304670304)	(10, 39.383075218252024)	(11, 39.404789322669075)	(12, 39.43363930540219)	(13, 39.43436622000145)	(14, 39.41434931550652)	(15, 39.40785870712945)	(16, 39.396176130767884)	(17, 39.388595221549075)	(18, 39.38862375099303)	(19, 39.38492270403704)	(20, 39.37697158708977)	(21, 39.391771475956396)	(22, 39.40673572000074)	(23, 39.34080040900493)	(24, 39.32441651424909)	(25, 39.32398313671821)	(26, 39.206098195290615)	(27, 39.19642401362023)	(28, 39.185204196919244)	(29, 39.15952620516472)	(30, 39.157722987981394)	(31, 39.136407407565315)	(32, 39.128745031329096)	(33, 39.12581456358833)	(34, 39.09984498883692)	(35, 39.101526911472746)	(36, 39.09488342364696)	(37, 39.07508214206029)	(38, 39.080481063981274)	(39, 39.06533107655839)	(40, 39.04329902694345)	(41, 39.01664421260866)	(42, 38.98785167957775)	(43, 38.972029882372)	(44, 38.965446153605654)	(45, 38.959650981512354)	(46, 38.90479237812634)	(47, 38.91778173092364)	(48, 38.91321783704891)	(49, 38.86372717466841)	(50, 38.87560327516596)	(51, 38.46327102332238)
SRR8134484	(1, 31.953622004433566)	(2, 32.08738279812773)	(3, 31.998014124301697)	(4, 35.75150902682289)	(5, 35.83648754378588)	(6, 35.83119676498895)	(7, 35.832002837289146)	(8, 35.78766759389319)	(9, 35.76035941929722)	(10, 35.6751829348713)	(11, 35.646105588603476)	(12, 35.633844141396644)	(13, 35.64733540062307)	(14, 37.12688187443515)	(15, 37.03786552801703)	(16, 37.12088130660393)	(17, 37.08298937403475)	(18, 37.16402401107284)	(19, 37.2964133016532)	(20, 37.315662486879404)	(21, 37.24596093699887)	(22, 37.2028385026912)	(23, 37.131810790847005)	(24, 37.15319061006117)	(25, 37.157693119627154)	(26, 36.998086070038475)	(27, 36.93878598003629)	(28, 36.8845808350693)	(29, 36.870304173772894)	(30, 36.67945627159455)	(31, 36.61435784862643)	(32, 36.49848447205632)	(33, 36.45580784793965)	(34, 36.33990519965642)	(35, 36.32913367597907)	(36, 36.26709064642744)	(37, 36.264238288014184)	(38, 36.23321633983032)	(39, 36.06788323640329)	(40, 35.996440786391574)	(41, 35.98000902022175)	(42, 35.94219556784923)	(43, 35.80250368496862)	(44, 35.79558109151351)	(45, 35.83483279183998)	(46, 35.81767830107244)	(47, 35.890225341515546)	(48, 35.859528316015016)	(49, 35.75831259975887)	(50, 35.17293828122635)	
SRR8134485	(1, 31.19792610308094)	(2, 31.418052597869863)	(3, 34.94791740258372)	(4, 35.69263008142389)	(5, 35.94552656395208)	(6, 39.208801753602614)	(7, 39.313902454897494)	(8, 39.38728120134609)	(9, 39.27731486298979)	(10, 39.36694112095118)	(11, 39.386892927157)	(12, 39.41415199095798)	(13, 39.414927350268215)	(14, 39.39398470243778)	(15, 39.386784576965006)	(16, 39.37483209490456)	(17, 39.36493452527825)	(18, 39.36891352367005)	(19, 39.363653000041644)	(20, 39.35268193406717)	(21, 39.36827853238157)	(22, 39.387093241604575)	(23, 39.315334846755825)	(24, 39.29538373658978)	(25, 39.297668342150416)	(26, 39.18193896844817)	(27, 39.16770947926132)	(28, 39.1593404999909)	(29, 39.12871234265296)	(30, 39.129885488695905)	(31, 39.10379548170419)	(32, 39.10193459035797)	(33, 39.09116604295702)	(34, 39.06867583768677)	(35, 39.06746208932348)	(36, 39.06969263579475)	(37, 39.04414545282434)	(38, 39.05247156764515)	(39, 39.033414491571364)	(40, 39.00310230729065)	(41, 38.97994506390051)	(42, 38.944672755158614)	(43, 38.94340161251535)	(44, 38.94380093633591)	(45, 38.93070866013851)	(46, 38.87184936144731)	(47, 38.88443619675977)	(48, 38.88058074542844)	(49, 38.83025561944814)	(50, 38.83659648381586)	(51, 38.42333075450596)
SRR8134496	(1, 31.6354253440549)	(2, 32.0000955625624)	(3, 30.76786218615846)	(4, 33.929876774476995)	(5, 35.14812450782043)	(6, 35.476575975582605)	(7, 35.58980274613673)	(8, 35.67111356339791)	(9, 37.357379242861754)	(10, 37.33581688076242)	(11, 37.324402982199466)	(12, 37.34363172379214)	(13, 37.33338340790019)	(14, 38.639628127272715)	(15, 38.58187064876026)	(16, 38.60877304792557)	(17, 38.55149532477296)	(18, 38.52130605370217)	(19, 38.55588664305176)	(20, 38.50519742167782)	(21, 38.44191004902667)	(22, 33.346448310258566)	(23, 35.09602661549564)	(24, 36.994123873686476)	(25, 37.770106854161384)	(26, 37.93361110688427)	(27, 38.05609541298621)	(28, 38.08073004941302)	(29, 38.05208210912349)	(30, 37.964939655290564)	(31, 37.966146652002585)	(32, 37.88548696598955)	(33, 37.810203577935724)	(34, 37.81466032230538)	(35, 37.76372407359623)	(36, 37.70726087154999)	(37, 37.663685287390784)	(38, 37.587885343487244)	(39, 37.4249397621307)	(40, 37.437172822331014)	(41, 37.38148871687268)	(42, 37.28684384645627)	(43, 37.25903724522541)	(44, 37.22885515078974)	(45, 37.068027000551794)	(46, 37.06607366076704)	(47, 36.97855694271459)	(48, 36.9752325418638)	(49, 36.90982800789236)	(50, 36.78042968834733)	(51, 35.93414150338742)
SRR8134497	(1, 31.173872710177555)	(2, 31.411144378939863)	(3, 34.967577752605514)	(4, 35.684587454714574)	(5, 35.941613530586146)	(6, 39.149516700808775)	(7, 39.24814355806917)	(8, 39.37882294352775)	(9, 39.27854188920376)	(10, 39.34535423087833)	(11, 39.39904472085768)	(12, 39.385599322531434)	(13, 39.367954779635696)	(14, 39.35506044165658)	(15, 39.35804822432807)	(16, 39.33685449003926)	(17, 39.33079342830808)	(18, 39.326685913890536)	(19, 39.320303525725045)	(20, 39.3090170993529)	(21, 39.31657231583299)	(22, 39.3340407482108)	(23, 39.26808747213747)	(24, 39.24408966704651)	(25, 39.23869673400034)	(26, 39.11306186122777)	(27, 39.0988439849716)	(28, 39.08544754386413)	(29, 39.05060332528267)	(30, 39.04117264467799)	(31, 39.01807898647042)	(32, 39.006674249955466)	(33, 38.994021047916284)	(34, 38.968124146776525)	(35, 38.965765093706224)	(36, 38.949498051156496)	(37, 38.92543326385999)	(38, 38.92275363696442)	(39, 38.89684273729632)	(40, 38.87216201475249)	(41, 38.83135878822718)	(42, 38.81334185437301)	(43, 38.80609693860464)	(44, 38.79067914010803)	(45, 38.75948379598846)	(46, 38.70019784586732)	(47, 38.70684756076773)	(48, 38.695932697484054)	(49, 38.64673889606251)	(50, 38.65665150987299)	(51, 38.189764050289035)
SRR8134498	(1, 31.612279555987378)	(2, 31.978042279144688)	(3, 30.736974404391173)	(4, 33.88740179364309)	(5, 35.12302531470279)	(6, 35.45609413463161)	(7, 35.57308588942029)	(8, 35.65462950756978)	(9, 37.34480701658402)	(10, 37.31867718328318)	(11, 37.306583094927554)	(12, 37.32656901789793)	(13, 37.31564281767948)	(14, 38.621149028740284)	(15, 38.56135299360908)	(16, 38.58706576269607)	(17, 38.529918795326324)	(18, 38.49735810965868)	(19, 38.53751633636927)	(20, 38.48934752840024)	(21, 38.423541110037746)	(22, 33.32786110829195)	(23, 35.07662428016376)	(24, 36.97454554065339)	(25, 37.75022562442685)	(26, 37.91084355735229)	(27, 38.03870343522936)	(28, 38.05787240914963)	(29, 38.03047261744571)	(30, 37.93659699203802)	(31, 37.94208108271557)	(32, 37.859250984554386)	(33, 37.78620752123211)	(34, 37.79109977461353)	(35, 37.73859371549736)	(36, 37.690851993045754)	(37, 37.638651641727485)	(38, 37.561534924765354)	(39, 37.39275980548766)	(40, 37.4048386490803)	(41, 37.351723611982706)	(42, 37.25358707531969)	(43, 37.23227466450784)	(44, 37.20498711914258)	(45, 37.04196097797244)	(46, 37.03316838680344)	(47, 36.94965796207467)	(48, 36.95257385188072)	(49, 36.88731055721892)	(50, 36.76280580404498)	(51, 35.92041382489517)
SRR8134499	(1, 31.16924428991051)	(2, 31.408434939214253)	(3, 34.96061435348811)	(4, 35.67935965312205)	(5, 35.932484088054714)	(6, 39.14070017003775)	(7, 39.23868986952544)	(8, 39.37132465000036)	(9, 39.274838927300145)	(10, 39.338154960557276)	(11, 39.394454322442016)	(12, 39.38312787592226)	(13, 39.363705255731496)	(14, 39.350097229594006)	(15, 39.354708623503576)	(16, 39.33288189545895)	(17, 39.32742183327785)	(18, 39.32520037156138)	(19, 39.31641398824262)	(20, 39.30522546201309)	(21, 39.314400202295566)	(22, 39.329485772057716)	(23, 39.26302985333337)	(24, 39.23944487551033)	(25, 39.23419066450866)	(26, 39.10542546514764)	(27, 39.09169551897071)	(28, 39.07861723212972)	(29, 39.04264763915598)	(30, 39.03275223260809)	(31, 39.00894488872691)	(32, 38.997775263378394)	(33, 38.98421257128474)	(34, 38.9574321749604)	(35, 38.953704865082095)	(36, 38.939340055154084)	(37, 38.91570595375413)	(38, 38.9126811110256)	(39, 38.88635101415625)	(40, 38.86001867163766)	(41, 38.81896909261502)	(42, 38.797971991607824)	(43, 38.792012132119964)	(44, 38.77607335600347)	(45, 38.745375143891145)	(46, 38.68714854712343)	(47, 38.69605867507163)	(48, 38.68463196967063)	(49, 38.63325918792177)	(50, 38.643223461046055)	(51, 38.180290030276495)
