Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR8134480	(0.0, 121.0)	(1.0, 187.5)	(2.0, 254.0)	(3.0, 375.5)	(4.0, 497.0)	(5.0, 725.5)	(6.0, 954.0)	(7.0, 1605.5)	(8.0, 2257.0)	(9.0, 3753.5)	(10.0, 5250.0)	(11.0, 8532.5)	(12.0, 11815.0)	(13.0, 18636.5)	(14.0, 25458.0)	(15.0, 38363.5)	(16.0, 51269.0)	(17.0, 72763.0)	(18.0, 94257.0)	(19.0, 127037.0)	(20.0, 159817.0)	(21.0, 205146.0)	(22.0, 250475.0)	(23.0, 307310.5)	(24.0, 364146.0)	(25.0, 429632.0)	(26.0, 495118.0)	(27.0, 567032.0)	(28.0, 638946.0)	(29.0, 710462.0)	(30.0, 781978.0)	(31.0, 849091.5)	(32.0, 916205.0)	(33.0, 970990.0)	(34.0, 1025775.0)	(35.0, 1068523.0)	(36.0, 1111271.0)	(37.0, 1138994.5)	(38.0, 1166718.0)	(39.0, 1172366.0)	(40.0, 1178014.0)	(41.0, 1164276.5)	(42.0, 1150539.0)	(43.0, 1125061.0)	(44.0, 1099583.0)	(45.0, 1069245.5)	(46.0, 1038908.0)	(47.0, 1007195.0)	(48.0, 975482.0)	(49.0, 950856.5)	(50.0, 926231.0)	(51.0, 911649.5)	(52.0, 897068.0)	(53.0, 873280.5)	(54.0, 849493.0)	(55.0, 827088.5)	(56.0, 804684.0)	(57.0, 772728.5)	(58.0, 740773.0)	(59.0, 695073.5)	(60.0, 649374.0)	(61.0, 598894.5)	(62.0, 548415.0)	(63.0, 499220.5)	(64.0, 450026.0)	(65.0, 410344.0)	(66.0, 370662.0)	(67.0, 336814.5)	(68.0, 302967.0)	(69.0, 277955.5)	(70.0, 252944.0)	(71.0, 232470.5)	(72.0, 211997.0)	(73.0, 194625.5)	(74.0, 177254.0)	(75.0, 162033.0)	(76.0, 146812.0)	(77.0, 132975.0)	(78.0, 119138.0)	(79.0, 105375.5)	(80.0, 91613.0)	(81.0, 78570.5)	(82.0, 65528.0)	(83.0, 54368.5)	(84.0, 43209.0)	(85.0, 34563.0)	(86.0, 25917.0)	(87.0, 19834.5)	(88.0, 13752.0)	(89.0, 10021.5)	(90.0, 6291.0)	(91.0, 4532.0)	(92.0, 2773.0)	(93.0, 1882.5)	(94.0, 992.0)	(95.0, 680.0)	(96.0, 368.0)	(97.0, 245.5)	(98.0, 123.0)	(99.0, 70.0)	(100.0, 17.0)
SRR8134481	(0.0, 14716.0)	(1.0, 10556.0)	(2.0, 6396.0)	(3.0, 7261.0)	(4.0, 8126.0)	(5.0, 8728.5)	(6.0, 9331.0)	(7.0, 10308.0)	(8.0, 11285.0)	(9.0, 12963.5)	(10.0, 14642.0)	(11.0, 18740.0)	(12.0, 22838.0)	(13.0, 31122.5)	(14.0, 39407.0)	(15.0, 54609.5)	(16.0, 69812.0)	(17.0, 95637.5)	(18.0, 121463.0)	(19.0, 161012.5)	(20.0, 200562.0)	(21.0, 255771.0)	(22.0, 310980.0)	(23.0, 381656.0)	(24.0, 452332.0)	(25.0, 534945.5)	(26.0, 708612.5)	(27.0, 799666.0)	(28.0, 891859.5)	(29.0, 984053.0)	(30.0, 1073437.0)	(31.0, 1162821.0)	(32.0, 1238009.0)	(33.0, 1313197.0)	(34.0, 1371597.5)	(35.0, 1429998.0)	(36.0, 1469642.0)	(37.0, 1509286.0)	(38.0, 1524779.0)	(39.0, 1540272.0)	(40.0, 1531061.0)	(41.0, 1521850.0)	(42.0, 1493942.5)	(43.0, 1466035.0)	(44.0, 1427810.5)	(45.0, 1389586.0)	(46.0, 1349724.5)	(47.0, 1309863.0)	(48.0, 1274814.5)	(49.0, 1239766.0)	(50.0, 1279160.5)	(51.0, 1318555.0)	(52.0, 1226035.0)	(53.0, 1133515.0)	(54.0, 1107137.5)	(55.0, 1080760.0)	(56.0, 1045221.5)	(57.0, 1009683.0)	(58.0, 960555.0)	(59.0, 911427.0)	(60.0, 845829.0)	(61.0, 780231.0)	(62.0, 713571.0)	(63.0, 646911.0)	(64.0, 585289.0)	(65.0, 523667.0)	(66.0, 474241.0)	(67.0, 424815.0)	(68.0, 385225.0)	(69.0, 345635.0)	(70.0, 315133.0)	(71.0, 284631.0)	(72.0, 260298.0)	(73.0, 235965.0)	(74.0, 216142.5)	(75.0, 178879.0)	(76.0, 161438.0)	(77.0, 145168.5)	(78.0, 128899.0)	(79.0, 114130.0)	(80.0, 99361.0)	(81.0, 85053.5)	(82.0, 70746.0)	(83.0, 58592.0)	(84.0, 46438.0)	(85.0, 37059.5)	(86.0, 27681.0)	(87.0, 20985.0)	(88.0, 14289.0)	(89.0, 10292.5)	(90.0, 6296.0)	(91.0, 4315.0)	(92.0, 2334.0)	(93.0, 1573.5)	(94.0, 813.0)	(95.0, 520.5)	(96.0, 228.0)	(97.0, 130.5)	(98.0, 33.0)	(99.0, 30.5)	(100.0, 28.0)
SRR8134482	(0.0, 99.0)	(1.0, 128.5)	(2.0, 158.0)	(3.0, 266.0)	(4.0, 374.0)	(5.0, 527.0)	(6.0, 680.0)	(7.0, 1085.0)	(8.0, 1490.0)	(9.0, 2438.5)	(10.0, 3387.0)	(11.0, 5671.5)	(12.0, 7956.0)	(13.0, 12515.5)	(14.0, 17075.0)	(15.0, 25256.0)	(16.0, 33437.0)	(17.0, 47446.0)	(18.0, 61455.0)	(19.0, 83076.5)	(20.0, 104698.0)	(21.0, 134231.0)	(22.0, 163764.0)	(23.0, 201201.0)	(24.0, 238638.0)	(25.0, 282691.5)	(26.0, 326745.0)	(27.0, 375099.0)	(28.0, 423453.0)	(29.0, 471693.5)	(30.0, 519934.0)	(31.0, 566596.0)	(32.0, 613258.0)	(33.0, 652330.5)	(34.0, 691403.0)	(35.0, 723108.5)	(36.0, 754814.0)	(37.0, 773886.5)	(38.0, 792959.0)	(39.0, 799421.0)	(40.0, 805883.0)	(41.0, 799342.0)	(42.0, 792801.0)	(43.0, 778887.5)	(44.0, 764974.0)	(45.0, 744017.5)	(46.0, 723061.0)	(47.0, 702858.0)	(48.0, 682655.0)	(49.0, 665597.0)	(50.0, 648539.0)	(51.0, 641061.5)	(52.0, 633584.0)	(53.0, 615791.0)	(54.0, 597998.0)	(55.0, 582321.0)	(56.0, 566644.0)	(57.0, 542485.0)	(58.0, 518326.0)	(59.0, 486753.0)	(60.0, 455180.0)	(61.0, 419770.5)	(62.0, 384361.0)	(63.0, 350164.0)	(64.0, 315967.0)	(65.0, 287225.5)	(66.0, 258484.0)	(67.0, 235029.0)	(68.0, 211574.0)	(69.0, 193602.0)	(70.0, 175630.0)	(71.0, 161181.0)	(72.0, 146732.0)	(73.0, 134680.5)	(74.0, 122629.0)	(75.0, 112301.0)	(76.0, 101973.0)	(77.0, 91877.5)	(78.0, 81782.0)	(79.0, 72359.0)	(80.0, 62936.0)	(81.0, 53529.0)	(82.0, 44122.0)	(83.0, 36840.0)	(84.0, 29558.0)	(85.0, 23492.0)	(86.0, 17426.0)	(87.0, 13303.0)	(88.0, 9180.0)	(89.0, 6734.0)	(90.0, 4288.0)	(91.0, 3069.5)	(92.0, 1851.0)	(93.0, 1260.5)	(94.0, 670.0)	(95.0, 461.0)	(96.0, 252.0)	(97.0, 157.0)	(98.0, 62.0)	(99.0, 41.5)	(100.0, 21.0)
SRR8134483	(0.0, 16231.0)	(1.0, 11336.5)	(2.0, 6442.0)	(3.0, 7396.5)	(4.0, 8351.0)	(5.0, 8936.5)	(6.0, 9522.0)	(7.0, 10316.0)	(8.0, 11110.0)	(9.0, 12766.0)	(10.0, 14422.0)	(11.0, 18133.5)	(12.0, 21845.0)	(13.0, 29454.5)	(14.0, 37064.0)	(15.0, 51730.0)	(16.0, 66396.0)	(17.0, 90573.5)	(18.0, 114751.0)	(19.0, 153398.0)	(20.0, 192045.0)	(21.0, 245317.0)	(22.0, 298589.0)	(23.0, 368912.5)	(24.0, 439236.0)	(25.0, 521780.5)	(26.0, 697079.0)	(27.0, 789833.0)	(28.0, 885376.5)	(29.0, 980920.0)	(30.0, 1073321.0)	(31.0, 1165722.0)	(32.0, 1248126.0)	(33.0, 1330530.0)	(34.0, 1395810.0)	(35.0, 1461090.0)	(36.0, 1509865.0)	(37.0, 1558640.0)	(38.0, 1579534.5)	(39.0, 1600429.0)	(40.0, 1595968.0)	(41.0, 1591507.0)	(42.0, 1564343.5)	(43.0, 1537180.0)	(44.0, 1501450.5)	(45.0, 1465721.0)	(46.0, 1427067.5)	(47.0, 1388414.0)	(48.0, 1378408.5)	(49.0, 1368403.0)	(50.0, 1313692.0)	(51.0, 1258981.0)	(52.0, 1238022.5)	(53.0, 1217064.0)	(54.0, 1193182.0)	(55.0, 1169300.0)	(56.0, 1133471.0)	(57.0, 1097642.0)	(58.0, 1046521.5)	(59.0, 995401.0)	(60.0, 923825.5)	(61.0, 852250.0)	(62.0, 778183.0)	(63.0, 704116.0)	(64.0, 637813.5)	(65.0, 571511.0)	(66.0, 516040.5)	(67.0, 460570.0)	(68.0, 416692.0)	(69.0, 372814.0)	(70.0, 339349.5)	(71.0, 305885.0)	(72.0, 279924.0)	(73.0, 253963.0)	(74.0, 232428.5)	(75.0, 191830.0)	(76.0, 172766.0)	(77.0, 155546.0)	(78.0, 138326.0)	(79.0, 122472.0)	(80.0, 106618.0)	(81.0, 91141.5)	(82.0, 75665.0)	(83.0, 63032.5)	(84.0, 50400.0)	(85.0, 39717.0)	(86.0, 29034.0)	(87.0, 21838.0)	(88.0, 14642.0)	(89.0, 10549.0)	(90.0, 6456.0)	(91.0, 4405.0)	(92.0, 2354.0)	(93.0, 1545.5)	(94.0, 737.0)	(95.0, 453.0)	(96.0, 169.0)	(97.0, 102.5)	(98.0, 36.0)	(99.0, 42.0)	(100.0, 48.0)
SRR8134484	(0.0, 84.0)	(1.0, 123.5)	(2.0, 163.0)	(3.0, 244.5)	(4.0, 326.0)	(5.0, 495.5)	(6.0, 665.0)	(7.0, 1113.0)	(8.0, 1561.0)	(9.0, 2537.5)	(10.0, 3514.0)	(11.0, 5752.0)	(12.0, 7990.0)	(13.0, 12790.5)	(14.0, 17591.0)	(15.0, 26538.0)	(16.0, 35485.0)	(17.0, 50628.0)	(18.0, 65771.0)	(19.0, 88663.0)	(20.0, 111555.0)	(21.0, 143468.5)	(22.0, 175382.0)	(23.0, 216395.5)	(24.0, 257409.0)	(25.0, 304519.0)	(26.0, 351629.0)	(27.0, 403694.0)	(28.0, 455759.0)	(29.0, 508816.0)	(30.0, 561873.0)	(31.0, 611868.0)	(32.0, 661863.0)	(33.0, 703944.5)	(34.0, 746026.0)	(35.0, 780066.0)	(36.0, 814106.0)	(37.0, 835353.0)	(38.0, 856600.0)	(39.0, 862016.5)	(40.0, 867433.0)	(41.0, 860034.0)	(42.0, 852635.0)	(43.0, 835921.5)	(44.0, 819208.0)	(45.0, 797527.0)	(46.0, 775846.0)	(47.0, 754798.5)	(48.0, 733751.0)	(49.0, 722776.5)	(50.0, 711802.0)	(51.0, 689584.0)	(52.0, 667366.0)	(53.0, 653807.0)	(54.0, 640248.0)	(55.0, 623419.0)	(56.0, 606590.0)	(57.0, 582403.0)	(58.0, 558216.0)	(59.0, 523833.5)	(60.0, 489451.0)	(61.0, 452212.0)	(62.0, 414973.0)	(63.0, 378415.0)	(64.0, 341857.0)	(65.0, 311322.5)	(66.0, 280788.0)	(67.0, 255511.0)	(68.0, 230234.0)	(69.0, 211314.0)	(70.0, 192394.0)	(71.0, 176624.5)	(72.0, 160855.0)	(73.0, 147737.0)	(74.0, 134619.0)	(75.0, 123359.0)	(76.0, 112099.0)	(77.0, 101108.0)	(78.0, 90117.0)	(79.0, 79665.5)	(80.0, 69214.0)	(81.0, 59636.5)	(82.0, 50059.0)	(83.0, 41521.5)	(84.0, 32984.0)	(85.0, 26561.5)	(86.0, 20139.0)	(87.0, 15384.0)	(88.0, 10629.0)	(89.0, 7844.0)	(90.0, 5059.0)	(91.0, 3650.5)	(92.0, 2242.0)	(93.0, 1562.5)	(94.0, 883.0)	(95.0, 582.0)	(96.0, 281.0)	(97.0, 178.5)	(98.0, 76.0)	(99.0, 45.0)	(100.0, 14.0)
SRR8134485	(0.0, 17072.0)	(1.0, 13130.0)	(2.0, 9188.0)	(3.0, 10568.5)	(4.0, 11949.0)	(5.0, 12828.5)	(6.0, 13708.0)	(7.0, 14946.0)	(8.0, 16184.0)	(9.0, 18550.0)	(10.0, 20916.0)	(11.0, 26131.0)	(12.0, 31346.0)	(13.0, 42135.5)	(14.0, 52925.0)	(15.0, 72759.0)	(16.0, 92593.0)	(17.0, 125697.0)	(18.0, 158801.0)	(19.0, 209012.5)	(20.0, 259224.0)	(21.0, 330002.0)	(22.0, 400780.0)	(23.0, 490005.5)	(24.0, 579231.0)	(25.0, 684321.0)	(26.0, 904371.5)	(27.0, 1019332.0)	(28.0, 1137020.5)	(29.0, 1254709.0)	(30.0, 1365104.0)	(31.0, 1475499.0)	(32.0, 1571324.5)	(33.0, 1667150.0)	(34.0, 1743221.0)	(35.0, 1819292.0)	(36.0, 1871863.0)	(37.0, 1924434.0)	(38.0, 1943438.0)	(39.0, 1962442.0)	(40.0, 1947163.0)	(41.0, 1931884.0)	(42.0, 1898469.5)	(43.0, 1865055.0)	(44.0, 1815906.0)	(45.0, 1766757.0)	(46.0, 1717235.5)	(47.0, 1667714.0)	(48.0, 1621571.5)	(49.0, 1575429.0)	(50.0, 1577204.0)	(51.0, 1578979.0)	(52.0, 1517157.0)	(53.0, 1455335.0)	(54.0, 1425142.5)	(55.0, 1394950.0)	(56.0, 1352431.0)	(57.0, 1309912.0)	(58.0, 1247902.5)	(59.0, 1185893.0)	(60.0, 1100608.5)	(61.0, 1015324.0)	(62.0, 930653.5)	(63.0, 845983.0)	(64.0, 766267.0)	(65.0, 686551.0)	(66.0, 620665.0)	(67.0, 554779.0)	(68.0, 502025.0)	(69.0, 449271.0)	(70.0, 409148.0)	(71.0, 369025.0)	(72.0, 336755.0)	(73.0, 304485.0)	(74.0, 278274.5)	(75.0, 229492.0)	(76.0, 206920.0)	(77.0, 185358.0)	(78.0, 163796.0)	(79.0, 143449.0)	(80.0, 123102.0)	(81.0, 105283.0)	(82.0, 87464.0)	(83.0, 71965.5)	(84.0, 56467.0)	(85.0, 44311.5)	(86.0, 32156.0)	(87.0, 23805.0)	(88.0, 15454.0)	(89.0, 11044.0)	(90.0, 6634.0)	(91.0, 4498.5)	(92.0, 2363.0)	(93.0, 1498.5)	(94.0, 634.0)	(95.0, 394.5)	(96.0, 155.0)	(97.0, 91.0)	(98.0, 27.0)	(99.0, 33.5)	(100.0, 40.0)
SRR8134496	(0.0, 13.0)	(1.0, 19.5)	(2.0, 26.0)	(3.0, 36.0)	(4.0, 46.0)	(5.0, 74.0)	(6.0, 102.0)	(7.0, 161.0)	(8.0, 220.0)	(9.0, 395.5)	(10.0, 571.0)	(11.0, 1088.5)	(12.0, 1606.0)	(13.0, 2461.0)	(14.0, 3316.0)	(15.0, 5148.0)	(16.0, 6980.0)	(17.0, 10324.0)	(18.0, 13668.0)	(19.0, 19406.0)	(20.0, 25144.0)	(21.0, 34162.0)	(22.0, 43180.0)	(23.0, 56814.5)	(24.0, 70449.0)	(25.0, 96204.0)	(26.0, 158518.5)	(27.0, 195078.0)	(28.0, 246313.0)	(29.0, 297548.0)	(30.0, 370083.5)	(31.0, 442619.0)	(32.0, 540576.0)	(33.0, 638533.0)	(34.0, 756601.0)	(35.0, 874669.0)	(36.0, 997569.5)	(37.0, 1120470.0)	(38.0, 1243274.5)	(39.0, 1366079.0)	(40.0, 1499031.5)	(41.0, 1631984.0)	(42.0, 1762282.5)	(43.0, 1892581.0)	(44.0, 1976800.5)	(45.0, 2061020.0)	(46.0, 2142128.5)	(47.0, 2223237.0)	(48.0, 2298907.5)	(49.0, 2374578.0)	(50.0, 2426832.5)	(51.0, 2479087.0)	(52.0, 2505423.0)	(53.0, 2531759.0)	(54.0, 2555455.5)	(55.0, 2579152.0)	(56.0, 2536848.5)	(57.0, 2494545.0)	(58.0, 2432718.5)	(59.0, 2370892.0)	(60.0, 2249898.0)	(61.0, 2128904.0)	(62.0, 1958874.5)	(63.0, 1788845.0)	(64.0, 1608600.0)	(65.0, 1428355.0)	(66.0, 1271897.5)	(67.0, 1115440.0)	(68.0, 977563.0)	(69.0, 839686.0)	(70.0, 721395.5)	(71.0, 603105.0)	(72.0, 517223.5)	(73.0, 431342.0)	(74.0, 366042.0)	(75.0, 250448.5)	(76.0, 200155.0)	(77.0, 166972.5)	(78.0, 133790.0)	(79.0, 110810.5)	(80.0, 87831.0)	(81.0, 73914.5)	(82.0, 59998.0)	(83.0, 50923.5)	(84.0, 41849.0)	(85.0, 32622.0)	(86.0, 23395.0)	(87.0, 17649.0)	(88.0, 11903.0)	(89.0, 8444.5)	(90.0, 4986.0)	(91.0, 3518.0)	(92.0, 2050.0)	(93.0, 1424.0)	(94.0, 798.0)	(95.0, 558.5)	(96.0, 319.0)	(97.0, 208.5)	(98.0, 98.0)	(99.0, 60.0)	(100.0, 22.0)
SRR8134497	(0.0, 103162.0)	(1.0, 54272.5)	(2.0, 5383.0)	(3.0, 4184.0)	(4.0, 2985.0)	(5.0, 2860.0)	(6.0, 2735.0)	(7.0, 3013.5)	(8.0, 3292.0)	(9.0, 3845.0)	(10.0, 4398.0)	(11.0, 5210.0)	(12.0, 6022.0)	(13.0, 7828.5)	(14.0, 9635.0)	(15.0, 12704.0)	(16.0, 15773.0)	(17.0, 21919.0)	(18.0, 28065.0)	(19.0, 37487.5)	(20.0, 46910.0)	(21.0, 60449.5)	(22.0, 73989.0)	(23.0, 91855.5)	(24.0, 109722.0)	(25.0, 136153.0)	(26.0, 196359.5)	(27.0, 230135.0)	(28.0, 266514.0)	(29.0, 302893.0)	(30.0, 347103.0)	(31.0, 391313.0)	(32.0, 443964.5)	(33.0, 496616.0)	(34.0, 554722.0)	(35.0, 612828.0)	(36.0, 675423.0)	(37.0, 738018.0)	(38.0, 792320.5)	(39.0, 846623.0)	(40.0, 917355.5)	(41.0, 988088.0)	(42.0, 1062949.0)	(43.0, 1137810.0)	(44.0, 1188826.0)	(45.0, 1239842.0)	(46.0, 1293635.0)	(47.0, 1347428.0)	(48.0, 1396770.0)	(49.0, 1446112.0)	(50.0, 1487225.0)	(51.0, 1528338.0)	(52.0, 1567060.5)	(53.0, 1605783.0)	(54.0, 1648976.5)	(55.0, 1692170.0)	(56.0, 1703184.5)	(57.0, 1714199.0)	(58.0, 1704126.5)	(59.0, 1694054.0)	(60.0, 1630717.5)	(61.0, 1567381.0)	(62.0, 1481614.5)	(63.0, 1395848.0)	(64.0, 1289171.0)	(65.0, 1182494.0)	(66.0, 1077406.5)	(67.0, 972319.0)	(68.0, 871316.5)	(69.0, 770314.0)	(70.0, 677099.5)	(71.0, 583885.0)	(72.0, 509278.5)	(73.0, 434672.0)	(74.0, 374876.5)	(75.0, 268924.0)	(76.0, 222767.0)	(77.0, 193086.0)	(78.0, 163405.0)	(79.0, 142773.5)	(80.0, 122142.0)	(81.0, 105336.5)	(82.0, 88531.0)	(83.0, 79282.5)	(84.0, 70034.0)	(85.0, 57432.5)	(86.0, 44831.0)	(87.0, 35579.0)	(88.0, 26327.0)	(89.0, 20270.0)	(90.0, 14213.0)	(91.0, 10567.5)	(92.0, 6922.0)	(93.0, 5114.5)	(94.0, 3307.0)	(95.0, 2766.0)	(96.0, 2225.0)	(97.0, 1343.0)	(98.0, 461.0)	(99.0, 309.5)	(100.0, 158.0)
SRR8134498	(0.0, 13.0)	(1.0, 10.0)	(2.0, 7.0)	(3.0, 18.0)	(4.0, 29.0)	(5.0, 47.0)	(6.0, 65.0)	(7.0, 115.0)	(8.0, 165.0)	(9.0, 263.5)	(10.0, 362.0)	(11.0, 691.0)	(12.0, 1020.0)	(13.0, 1545.5)	(14.0, 2071.0)	(15.0, 3316.0)	(16.0, 4561.0)	(17.0, 6722.0)	(18.0, 8883.0)	(19.0, 12420.5)	(20.0, 15958.0)	(21.0, 21494.0)	(22.0, 27030.0)	(23.0, 35110.0)	(24.0, 43190.0)	(25.0, 60016.0)	(26.0, 98064.5)	(27.0, 119287.0)	(28.0, 153069.0)	(29.0, 186851.0)	(30.0, 235172.0)	(31.0, 283493.0)	(32.0, 351364.0)	(33.0, 419235.0)	(34.0, 505692.5)	(35.0, 592150.0)	(36.0, 678820.0)	(37.0, 765490.0)	(38.0, 859334.0)	(39.0, 953178.0)	(40.0, 1055446.0)	(41.0, 1157714.0)	(42.0, 1255474.0)	(43.0, 1353234.0)	(44.0, 1416045.5)	(45.0, 1478857.0)	(46.0, 1536479.5)	(47.0, 1594102.0)	(48.0, 1648209.0)	(49.0, 1702316.0)	(50.0, 1746256.5)	(51.0, 1790197.0)	(52.0, 1824684.5)	(53.0, 1859172.0)	(54.0, 1831403.0)	(55.0, 1803634.0)	(56.0, 1756935.5)	(57.0, 1710237.0)	(58.0, 1657877.5)	(59.0, 1605518.0)	(60.0, 1525528.0)	(61.0, 1445538.0)	(62.0, 1335885.5)	(63.0, 1226233.0)	(64.0, 1105270.0)	(65.0, 984307.0)	(66.0, 874460.0)	(67.0, 764613.0)	(68.0, 665686.5)	(69.0, 566760.0)	(70.0, 485997.5)	(71.0, 405235.0)	(72.0, 346275.0)	(73.0, 287315.0)	(74.0, 243881.0)	(75.0, 167110.0)	(76.0, 133773.0)	(77.0, 112788.5)	(78.0, 91804.0)	(79.0, 76912.5)	(80.0, 62021.0)	(81.0, 53638.5)	(82.0, 45256.0)	(83.0, 41290.5)	(84.0, 37325.0)	(85.0, 30126.5)	(86.0, 22928.0)	(87.0, 16920.5)	(88.0, 10913.0)	(89.0, 7153.5)	(90.0, 3394.0)	(91.0, 2377.0)	(92.0, 1360.0)	(93.0, 959.0)	(94.0, 558.0)	(95.0, 387.0)	(96.0, 216.0)	(97.0, 140.5)	(98.0, 65.0)	(99.0, 42.0)	(100.0, 19.0)
SRR8134499	(0.0, 122313.0)	(1.0, 63724.5)	(2.0, 5136.0)	(3.0, 4017.5)	(4.0, 2899.0)	(5.0, 2834.5)	(6.0, 2770.0)	(7.0, 3295.0)	(8.0, 3820.0)	(9.0, 4398.0)	(10.0, 4976.0)	(11.0, 5698.5)	(12.0, 6421.0)	(13.0, 8099.0)	(14.0, 9777.0)	(15.0, 12770.0)	(16.0, 15763.0)	(17.0, 21491.5)	(18.0, 27220.0)	(19.0, 35626.5)	(20.0, 44033.0)	(21.0, 56342.0)	(22.0, 68651.0)	(23.0, 85615.0)	(24.0, 102579.0)	(25.0, 126089.0)	(26.0, 177734.0)	(27.0, 205869.0)	(28.0, 239640.5)	(29.0, 273412.0)	(30.0, 311542.0)	(31.0, 349672.0)	(32.0, 394837.5)	(33.0, 440003.0)	(34.0, 489745.5)	(35.0, 539488.0)	(36.0, 592256.0)	(37.0, 645024.0)	(38.0, 687433.5)	(39.0, 729843.0)	(40.0, 787903.5)	(41.0, 845964.0)	(42.0, 901851.0)	(43.0, 957738.0)	(44.0, 992119.0)	(45.0, 1026500.0)	(46.0, 1063855.0)	(47.0, 1101210.0)	(48.0, 1128845.0)	(49.0, 1156480.0)	(50.0, 1188495.0)	(51.0, 1220510.0)	(52.0, 1243379.0)	(53.0, 1266248.0)	(54.0, 1284751.0)	(55.0, 1303254.0)	(56.0, 1293815.5)	(57.0, 1284377.0)	(58.0, 1271890.0)	(59.0, 1259403.0)	(60.0, 1216028.0)	(61.0, 1172653.0)	(62.0, 1110780.5)	(63.0, 1048908.0)	(64.0, 976929.0)	(65.0, 904950.0)	(66.0, 823935.5)	(67.0, 742921.0)	(68.0, 665404.5)	(69.0, 587888.0)	(70.0, 516818.5)	(71.0, 445749.0)	(72.0, 388599.5)	(73.0, 331450.0)	(74.0, 285708.5)	(75.0, 207158.0)	(76.0, 174349.0)	(77.0, 154276.5)	(78.0, 134204.0)	(79.0, 123016.5)	(80.0, 111829.0)	(81.0, 100363.5)	(82.0, 88898.0)	(83.0, 94053.0)	(84.0, 99208.0)	(85.0, 83346.5)	(86.0, 67485.0)	(87.0, 50299.0)	(88.0, 33113.0)	(89.0, 22199.5)	(90.0, 11286.0)	(91.0, 8064.5)	(92.0, 4843.0)	(93.0, 3492.5)	(94.0, 2142.0)	(95.0, 1803.5)	(96.0, 1465.0)	(97.0, 878.5)	(98.0, 292.0)	(99.0, 202.5)	(100.0, 113.0)
