Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR8134480	(7.0, 72.0)	(8.0, 366.0)	(9.0, 1092.0)	(10.0, 1551.0)	(11.0, 1749.0)	(12.0, 1438.0)	(13.0, 936.0)	(14.0, 649.0)	(15.0, 483.0)	(16.0, 520.0)	(17.0, 798.0)	(18.0, 1489.0)	(19.0, 3063.0)	(20.0, 5991.0)	(21.0, 10998.0)	(22.0, 19049.0)	(23.0, 30851.0)	(24.0, 48242.0)	(25.0, 72865.0)	(26.0, 108564.0)	(27.0, 159244.0)	(28.0, 227619.0)	(29.0, 322462.0)	(30.0, 448113.0)	(31.0, 609428.0)	(32.0, 813531.0)	(33.0, 1071449.0)	(34.0, 1408433.0)	(35.0, 1866464.0)	(36.0, 2561591.0)	(37.0, 3816463.0)	(38.0, 6627965.0)			
SRR8134481	(12.0, 2.0)	(13.0, 8.0)	(14.0, 7.0)	(15.0, 4.0)	(16.0, 13.0)	(17.0, 20.0)	(18.0, 30.0)	(19.0, 90.0)	(20.0, 227.0)	(21.0, 792.0)	(22.0, 2284.0)	(23.0, 5689.0)	(24.0, 13332.0)	(25.0, 28330.0)	(26.0, 54657.0)	(27.0, 95225.0)	(28.0, 152744.0)	(29.0, 226918.0)	(30.0, 314455.0)	(31.0, 414256.0)	(32.0, 521851.0)	(33.0, 637411.0)	(34.0, 764449.0)	(35.0, 908065.0)	(36.0, 1086607.0)	(37.0, 1358806.0)	(38.0, 1885827.0)	(39.0, 3681590.0)	(40.0, 14862852.0)						
SRR8134482	(7.0, 29.0)	(8.0, 194.0)	(9.0, 613.0)	(10.0, 899.0)	(11.0, 1011.0)	(12.0, 843.0)	(13.0, 549.0)	(14.0, 364.0)	(15.0, 319.0)	(16.0, 342.0)	(17.0, 490.0)	(18.0, 1041.0)	(19.0, 2047.0)	(20.0, 4085.0)	(21.0, 7372.0)	(22.0, 12882.0)	(23.0, 21017.0)	(24.0, 32384.0)	(25.0, 49282.0)	(26.0, 73332.0)	(27.0, 107700.0)	(28.0, 154793.0)	(29.0, 219605.0)	(30.0, 305184.0)	(31.0, 414565.0)	(32.0, 554722.0)	(33.0, 732356.0)	(34.0, 963816.0)	(35.0, 1278306.0)	(36.0, 1757488.0)	(37.0, 2625363.0)	(38.0, 4591927.0)			
SRR8134483	(12.0, 3.0)	(13.0, 2.0)	(14.0, 10.0)	(15.0, 12.0)	(16.0, 6.0)	(17.0, 20.0)	(18.0, 34.0)	(19.0, 101.0)	(20.0, 299.0)	(21.0, 891.0)	(22.0, 2444.0)	(23.0, 6210.0)	(24.0, 14418.0)	(25.0, 30101.0)	(26.0, 57893.0)	(27.0, 100833.0)	(28.0, 161046.0)	(29.0, 237703.0)	(30.0, 330404.0)	(31.0, 433932.0)	(32.0, 547379.0)	(33.0, 669006.0)	(34.0, 798333.0)	(35.0, 947528.0)	(36.0, 1137186.0)	(37.0, 1417322.0)	(38.0, 1969966.0)	(39.0, 3838765.0)	(40.0, 15444513.0)						
SRR8134484	(7.0, 43.0)	(8.0, 210.0)	(9.0, 654.0)	(10.0, 884.0)	(11.0, 1032.0)	(12.0, 757.0)	(13.0, 502.0)	(14.0, 354.0)	(15.0, 316.0)	(16.0, 326.0)	(17.0, 518.0)	(18.0, 1118.0)	(19.0, 2260.0)	(20.0, 4484.0)	(21.0, 8306.0)	(22.0, 14408.0)	(23.0, 22896.0)	(24.0, 35757.0)	(25.0, 54746.0)	(26.0, 80825.0)	(27.0, 118905.0)	(28.0, 169661.0)	(29.0, 238848.0)	(30.0, 329015.0)	(31.0, 446261.0)	(32.0, 596271.0)	(33.0, 783005.0)	(34.0, 1026483.0)	(35.0, 1362816.0)	(36.0, 1874559.0)	(37.0, 2818494.0)	(38.0, 5002700.0)			
SRR8134485	(12.0, 1.0)	(13.0, 2.0)	(14.0, 6.0)	(15.0, 11.0)	(16.0, 12.0)	(17.0, 19.0)	(18.0, 43.0)	(19.0, 99.0)	(20.0, 395.0)	(21.0, 1095.0)	(22.0, 2996.0)	(23.0, 7654.0)	(24.0, 17922.0)	(25.0, 37436.0)	(26.0, 71838.0)	(27.0, 125426.0)	(28.0, 200481.0)	(29.0, 296142.0)	(30.0, 410422.0)	(31.0, 540069.0)	(32.0, 681507.0)	(33.0, 832973.0)	(34.0, 994938.0)	(35.0, 1180823.0)	(36.0, 1414465.0)	(37.0, 1760636.0)	(38.0, 2442325.0)	(39.0, 4742779.0)	(40.0, 18718273.0)						
SRR8134496	(6.0, 1.0)	(7.0, 107.0)	(8.0, 790.0)	(9.0, 3252.0)	(10.0, 5779.0)	(11.0, 4727.0)	(12.0, 2561.0)	(13.0, 1542.0)	(14.0, 1095.0)	(15.0, 939.0)	(16.0, 1030.0)	(17.0, 1437.0)	(18.0, 2495.0)	(19.0, 5051.0)	(20.0, 10032.0)	(21.0, 18233.0)	(22.0, 31114.0)	(23.0, 51319.0)	(24.0, 80050.0)	(25.0, 120019.0)	(26.0, 174827.0)	(27.0, 248014.0)	(28.0, 343203.0)	(29.0, 468686.0)	(30.0, 624571.0)	(31.0, 820599.0)	(32.0, 1063573.0)	(33.0, 1376945.0)	(34.0, 1823611.0)	(35.0, 2492404.0)	(36.0, 3590128.0)	(37.0, 5554786.0)	(38.0, 7674477.0)	(39.0, 10464543.0)	(40.0, 2784.0)
SRR8134497	(13.0, 3.0)	(14.0, 8.0)	(15.0, 6.0)	(16.0, 15.0)	(17.0, 23.0)	(18.0, 43.0)	(19.0, 136.0)	(20.0, 382.0)	(21.0, 1267.0)	(22.0, 3292.0)	(23.0, 8355.0)	(24.0, 18968.0)	(25.0, 36931.0)	(26.0, 67811.0)	(27.0, 112404.0)	(28.0, 172931.0)	(29.0, 249904.0)	(30.0, 338096.0)	(31.0, 439378.0)	(32.0, 544719.0)	(33.0, 659876.0)	(34.0, 782692.0)	(35.0, 923663.0)	(36.0, 1103068.0)	(37.0, 1372355.0)	(38.0, 1901760.0)	(39.0, 3716549.0)	(40.0, 14119587.0)							
SRR8134498	(6.0, 4.0)	(7.0, 105.0)	(8.0, 722.0)	(9.0, 3130.0)	(10.0, 5640.0)	(11.0, 4544.0)	(12.0, 2567.0)	(13.0, 1618.0)	(14.0, 1096.0)	(15.0, 965.0)	(16.0, 949.0)	(17.0, 1250.0)	(18.0, 1996.0)	(19.0, 3719.0)	(20.0, 7295.0)	(21.0, 12940.0)	(22.0, 22610.0)	(23.0, 36710.0)	(24.0, 57998.0)	(25.0, 86819.0)	(26.0, 124596.0)	(27.0, 176103.0)	(28.0, 244773.0)	(29.0, 330878.0)	(30.0, 439377.0)	(31.0, 577005.0)	(32.0, 745312.0)	(33.0, 964494.0)	(34.0, 1273399.0)	(35.0, 1744248.0)	(36.0, 2501171.0)	(37.0, 3866210.0)	(38.0, 5327490.0)	(39.0, 7275301.0)	(40.0, 1907.0)
SRR8134499	(12.0, 1.0)	(13.0, 2.0)	(14.0, 10.0)	(15.0, 4.0)	(16.0, 8.0)	(17.0, 22.0)	(18.0, 39.0)	(19.0, 112.0)	(20.0, 356.0)	(21.0, 979.0)	(22.0, 2759.0)	(23.0, 6969.0)	(24.0, 15397.0)	(25.0, 29718.0)	(26.0, 54962.0)	(27.0, 90861.0)	(28.0, 140299.0)	(29.0, 202162.0)	(30.0, 274796.0)	(31.0, 353464.0)	(32.0, 440881.0)	(33.0, 531961.0)	(34.0, 633237.0)	(35.0, 745949.0)	(36.0, 889526.0)	(37.0, 1106393.0)	(38.0, 1532951.0)	(39.0, 2990983.0)	(40.0, 11329864.0)						
