Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8134480	(1.0, 70.09232431408368)	(2.0, 22.439115423115467)	(3.0, 5.593072644633413)	(4.0, 1.206080836309874)	(5.0, 0.35394615461114654)	(6.0, 0.09906679562698818)	(7.0, 0.048642327288684166)	(8.0, 0.028444697380435886)	(9.0, 0.010183863618771608)	('>10', 0.0743591761107008)	('>50', 0.0)	('>100', 0.0013603012109894292)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05340346600983816)
SRR8134481	(1.0, 51.02790394112162)	(2.0, 28.887701362209096)	(3.0, 12.392228118092264)	(4.0, 4.51158164523415)	(5.0, 1.5150569128070823)	(6.0, 0.5560767013137778)	(7.0, 0.1786843816205297)	(8.0, 0.08347742270275724)	(9.0, 0.034260498578245334)	('>10', 0.17932577612181727)	('>50', 0.010278682077824397)	('>100', 0.016251118792389052)	('>500', 0.016245616271041444)	('>1k', 0.01965858239662074)	('>5k', 0.03462982069353706)	('>10k+', 0.5366394199672233)
SRR8134482	(1.0, 84.34130779147183)	(2.0, 13.159271044978263)	(3.0, 1.8613946331102558)	(4.0, 0.3259844038690783)	(5.0, 0.09014563024384481)	(6.0, 0.02642935134050798)	(7.0, 0.025504085736538448)	(8.0, 0.018428795971929923)	(9.0, 0.01746731672907648)	('>10', 0.04106601899056067)	('>50', 0.0)	('>100', 0.0016634484564688535)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09133747910161086)
SRR8134483	(1.0, 59.616869557840836)	(2.0, 26.889100578929774)	(3.0, 9.000318585481795)	(4.0, 2.7795208235956412)	(5.0, 0.7836922832691013)	(6.0, 0.275443299898388)	(7.0, 0.09869482020863456)	(8.0, 0.04943681924229634)	(9.0, 0.03638669568090908)	('>10', 0.16794798863626426)	('>50', 0.012451527084852854)	('>100', 0.018272480186530774)	('>500', 0.011422319313093355)	('>1k', 0.018335216980840823)	('>5k', 0.0)	('>10k+', 0.2421070036510549)
SRR8134484	(1.0, 83.63321812907914)	(2.0, 13.751224609945314)	(3.0, 1.916342036576285)	(4.0, 0.3377668385813692)	(5.0, 0.0940813180608975)	(6.0, 0.043645102410071024)	(7.0, 0.029533168955546956)	(8.0, 0.01328307941732402)	(9.0, 0.01845311384369432)	('>10', 0.04493158041811831)	('>50', 0.001196992803526099)	('>100', 0.0046028172088987416)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.1117212126998287)
SRR8134485	(1.0, 46.14346022179885)	(2.0, 30.034369028381725)	(3.0, 14.279843884690976)	(4.0, 5.579965862661825)	(5.0, 2.1709795668743532)	(6.0, 0.7524914348762253)	(7.0, 0.30244746355237634)	(8.0, 0.11169899454536514)	(9.0, 0.08465411728914309)	('>10', 0.23759767321925568)	('>50', 0.012280389618464765)	('>100', 0.021609844303680927)	('>500', 0.006181842406335077)	('>1k', 0.016109989667269432)	('>5k', 0.0)	('>10k+', 0.2463096861141926)
SRR8134496	(1.0, 32.56607476536196)	(2.0, 12.061395117544887)	(3.0, 6.351829642190064)	(4.0, 4.15909092214002)	(5.0, 2.9670910141643305)	(6.0, 2.1548943412859)	(7.0, 1.7458805255059668)	(8.0, 1.4499542806986638)	(9.0, 1.2013987115297908)	('>10', 14.974190194474035)	('>50', 5.935330204006027)	('>100', 10.659953720991792)	('>500', 2.0833938383612463)	('>1k', 1.5867118592195435)	('>5k', 0.059721400239577754)	('>10k+', 0.0430894622863187)
SRR8134497	(1.0, 27.235869114968008)	(2.0, 16.999605858111092)	(3.0, 9.413992284092128)	(4.0, 5.135494831135477)	(5.0, 3.257002140764493)	(6.0, 2.341689330618021)	(7.0, 1.695998902572965)	(8.0, 1.4047362237523557)	(9.0, 1.159601311930516)	('>10', 13.744230609156372)	('>50', 5.428375086040555)	('>100', 9.176330153343429)	('>500', 1.7016953881201204)	('>1k', 0.8674103649744305)	('>5k', 0.021857864557279026)	('>10k+', 0.4161105358629633)
SRR8134498	(1.0, 35.45953925629471)	(2.0, 12.098307908582486)	(3.0, 6.230847017530743)	(4.0, 3.925438244889174)	(5.0, 2.7908348347714886)	(6.0, 2.14334311110999)	(7.0, 1.701263720846903)	(8.0, 1.43841099934446)	(9.0, 1.1649376883561642)	('>10', 15.17942803258433)	('>50', 6.166872563349916)	('>100', 9.423238042783472)	('>500', 1.3007780540785274)	('>1k', 0.6458893283730667)	('>5k', 0.05722429899643114)	('>10k+', 0.2736468981079855)
SRR8134499	(1.0, 28.668213197910507)	(2.0, 17.460207415407922)	(3.0, 9.446449764114842)	(4.0, 5.128731469004522)	(5.0, 3.215761175351773)	(6.0, 2.2103422641073105)	(7.0, 1.662456006723609)	(8.0, 1.3327832871217649)	(9.0, 1.0489688493160307)	('>10', 13.881838644176922)	('>50', 5.452409713723777)	('>100', 8.331508760105253)	('>500', 1.0867586106632035)	('>1k', 0.4729485721152042)	('>5k', 0.06773473758811333)	('>10k+', 0.5328875325694411)
