Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8134480	16.41782908288829	45.0	50.0	50	0.0	20.243527999999998
SRR8134481	28.8217769997525	45.0	51.0	51	0.0	27.016541
SRR8134482	8.343712893735017	45.0	50.0	50	0.0	13.914919999999999
SRR8134483	23.004542422288097	45.0	51.0	51	0.0	28.146359999999998
SRR8134484	8.73060181528571	45.0	50.0	50	0.0	14.997414
SRR8134485	32.041376018999955	45.0	51.0	51	0.0	34.480788
SRR8134496	55.79226332647024	52.0	51.0	51	27.27272727272727	37.064724
SRR8134497	57.399666845325925	52.0	51.0	51	10.0	26.574222
SRR8134498	53.032721199286875	52.0	51.0	51	27.27272727272727	25.844941
SRR8134499	55.78468544095667	52.0	51.0	51	10.0	21.374665
SRR8134500	57.40688867449016	52.0	51.0	51	27.27272727272727	38.396394
SRR8134501	57.79927036313619	52.0	51.0	51	10.0	27.075782999999998
